Cyclone_Year,Value,dtau
1910,-999,1.91
1911.91,1,0.6
1912.51,-999,4.28
1916.79,1,0.84
1917.63,-999,0.24
1917.87,1,0.47
1918.34,-999,6.56
1924.9,1,0.48
1925.38,-999,1.66
1927.04,1,0.36
1927.4,-999,3.34
1930.74,1,1.19
1931.93,-999,2.03
1933.96,1,0.83
1934.79,-999,7.03
1941.82,1,1.91
1943.73,-999,1.19
1944.92,1,0.48
1945.4,-999,0.48
1945.88,1,0.36
1946.23,-999,0.72
1946.95,1,0.48
1947.43,-999,0.35
1947.78,1,0.95
1948.74,-999,4.41
1953.15,1,0.24
1953.38,-999,1.79
1955.17,1,0.6
1955.77,-999,4.05
1959.82,1,0.72
1960.54,-999,0.59
1961.13,1,0.24
1961.37,-999,4.65
1966.02,1,0.6
1966.62,-999,1.66
1968.28,1,0.36
1968.64,-999,2.5
1971.14,1,0.72
1971.86,-999,1.19
1973.05,1,0.36
1973.41,-999,2.26
1975.67,1,0.83
1976.51,-999,2.38
1978.89,1,0.72
1979.61,-999,0.24
1979.85,1,0.95
1980.8,-999,0.12
1980.92,1,0.6
1981.51,-999,3.46
1984.97,1,0.36
1985.33,-999,2.62
1987.95,1,0.83
1988.78,-999,2.22
1991,1,2
1993,-999,1.98
1994.98,1,0.83
1995.82,-999,0.23
1996.05,1,0.36
1996.41,-999,0.36
1996.77,1,1.19
1997.96,-999,0.84
1998.8,1,2.62
2001.42,-999,0.48
2001.9,1,0.48
2002.37,-999,0.48
2002.85,1,0.6
2003.44,-999,0.6
2004.04,1,0.48
2004.52,-999,1.43
2005.95,1,0.72
2006.66,-999,5.25
2011.91,1,0.6
2012.5,-999,0.56
2013.06,1,0.1
2013.16,-999,0.82
2013.98,1,0.13
2014.11,-999,1.08
2015.19,1,0.14
2015.33,-999,0.74
2016.07,1,0.02
2016.09,-999,1.12
2017.21,1,0.01
2017.22,-999,0.77
2017.99,1,0.05
2018.04,-999,1.17
2019.21,1,0.03
2019.24,-999,0.77
2020.01,1,0.1
2020.11,-999,0.6
