Date	14c	Ar39	CFC11	CFC12	CFC113	SF6	tritium	85Kr
1000	100	100	0	0	0	0	1.5	0
1000.1	100	100	0	0	0	0	1.5	0
1000.2	100	100	0	0	0	0	1.5	0
1000.3	100	100	0	0	0	0	1.5	0
1000.4	100	100	0	0	0	0	1.5	0
1000.5	100	100	0	0	0	0	1.5	0
1000.6	100	100	0	0	0	0	1.5	0
1000.7	100	100	0	0	0	0	1.5	0
1000.8	100	100	0	0	0	0	1.5	0
1000.9	100	100	0	0	0	0	1.5	0
1001	100	100	0	0	0	0	1.5	0
1001.1	100	100	0	0	0	0	1.5	0
1001.2	100	100	0	0	0	0	1.5	0
1001.3	100	100	0	0	0	0	1.5	0
1001.4	100	100	0	0	0	0	1.5	0
1001.5	100	100	0	0	0	0	1.5	0
1001.6	100	100	0	0	0	0	1.5	0
1001.7	100	100	0	0	0	0	1.5	0
1001.8	100	100	0	0	0	0	1.5	0
1001.9	100	100	0	0	0	0	1.5	0
1002	100	100	0	0	0	0	1.5	0
1002.1	100	100	0	0	0	0	1.5	0
1002.2	100	100	0	0	0	0	1.5	0
1002.3	100	100	0	0	0	0	1.5	0
1002.4	100	100	0	0	0	0	1.5	0
1002.5	100	100	0	0	0	0	1.5	0
1002.6	100	100	0	0	0	0	1.5	0
1002.7	100	100	0	0	0	0	1.5	0
1002.8	100	100	0	0	0	0	1.5	0
1002.9	100	100	0	0	0	0	1.5	0
1003	100	100	0	0	0	0	1.5	0
1003.1	100	100	0	0	0	0	1.5	0
1003.2	100	100	0	0	0	0	1.5	0
1003.3	100	100	0	0	0	0	1.5	0
1003.4	100	100	0	0	0	0	1.5	0
1003.5	100	100	0	0	0	0	1.5	0
1003.6	100	100	0	0	0	0	1.5	0
1003.7	100	100	0	0	0	0	1.5	0
1003.8	100	100	0	0	0	0	1.5	0
1003.9	100	100	0	0	0	0	1.5	0
1004	100	100	0	0	0	0	1.5	0
1004.1	100	100	0	0	0	0	1.5	0
1004.2	100	100	0	0	0	0	1.5	0
1004.3	100	100	0	0	0	0	1.5	0
1004.4	100	100	0	0	0	0	1.5	0
1004.5	100	100	0	0	0	0	1.5	0
1004.6	100	100	0	0	0	0	1.5	0
1004.7	100	100	0	0	0	0	1.5	0
1004.8	100	100	0	0	0	0	1.5	0
1004.9	100	100	0	0	0	0	1.5	0
1005	100	100	0	0	0	0	1.5	0
1005.1	100	100	0	0	0	0	1.5	0
